piece_id,piece_name,piece_parte,piece_description,piece_model,piece_part,piece_qty,piece_remarks,piece_packageWeight,piece_packageWeightUnit,piece_packageWidth,piece_packageWidthUnit,piece_packageLength,piece_packageLengthUnit,piece_packageQty,piece_alternative_part_id,piece_images
DZ108149,"Turbocharger, Rollerless",Arandela,"Turbocharger, Rollerless",173696,4588509,1,,48.2,LBS,,,,,,SE501680,"DZ108149_0.png
DZ108149_1.png
DZ108149_2.png
DZ108149_3.png
DZ108149_4.png"
DZ108149,"Turbocharger, Rollerless",Arandela,"Turbocharger, Rollerless",173696,4629132,1,SUB FOR RE535686,48.2,LBS,,,,,,SE501680,"DZ108149_0.png
DZ108149_1.png
DZ108149_2.png
DZ108149_3.png
DZ108149_4.png"
DZ108149,"Turbocharger, Rollerless",Arandela,"Turbocharger, Rollerless",173704,4588509,1,,48.2,LBS,,,,,,SE501680,"DZ108149_0.png
DZ108149_1.png
DZ108149_2.png
DZ108149_3.png
DZ108149_4.png"
DZ108149,"Turbocharger, Rollerless",Arandela,"Turbocharger, Rollerless",173704,4629132,1,SUB FOR RE535686,48.2,LBS,,,,,,SE501680,"DZ108149_0.png
DZ108149_1.png
DZ108149_2.png
DZ108149_3.png
DZ108149_4.png"
DZ108149,"Turbocharger, Rollerless",Arandela,"Turbocharger, Rollerless",16820,11571245,1,SUB FOR RE535686,48.2,LBS,,,,,,SE501680,"DZ108149_0.png
DZ108149_1.png
DZ108149_2.png
DZ108149_3.png
DZ108149_4.png"
DZ108149,"Turbocharger, Rollerless",Arandela,"Turbocharger, Rollerless",16820,11614446,1,,48.2,LBS,,,,,,SE501680,"DZ108149_0.png
DZ108149_1.png
DZ108149_2.png
DZ108149_3.png
DZ108149_4.png"
DZ108149,"Turbocharger, Rollerless",Arandela,"Turbocharger, Rollerless",16822,11571245,1,SUB FOR RE535686,48.2,LBS,,,,,,SE501680,"DZ108149_0.png
DZ108149_1.png
DZ108149_2.png
DZ108149_3.png
DZ108149_4.png"
DZ108149,"Turbocharger, Rollerless",Arandela,"Turbocharger, Rollerless",16822,11614446,1,,48.2,LBS,,,,,,SE501680,"DZ108149_0.png
DZ108149_1.png
DZ108149_2.png
DZ108149_3.png
DZ108149_4.png"
DZ108149,"Turbocharger, Rollerless",Arandela,"Turbocharger, Rollerless",17936,11571245,1,SUB FOR RE535686,48.2,LBS,,,,,,SE501680,"DZ108149_0.png
DZ108149_1.png
DZ108149_2.png
DZ108149_3.png
DZ108149_4.png"
DZ108149,"Turbocharger, Rollerless",Arandela,"Turbocharger, Rollerless",17936,11614446,1,,48.2,LBS,,,,,,SE501680,"DZ108149_0.png
DZ108149_1.png
DZ108149_2.png
DZ108149_3.png
DZ108149_4.png"
